Designator,Mid X,Mid Y,Rotation,Layer
BZ1,132.85,-92.33,90.0,top
C1,118.37,-108.02,270.0,top
C2,128.83,-106.875,270.0,top
C24,123.01,-90.174003,180.0,top
C25,130.175,-42.225,270.0,top
C26,108.805,-88.76,0.0,top
C27,115.42,-105.625,0.0,top
C28,115.42,-103.665,0.0,top
C34,135.036,-104.455,180.0,top
C35,104.435,-64.47,180.0,top
C36,123.69,-103.61,90.0,top
C37,114.72,-100.99,270.0,top
C4,127.68,-75.85,180.0,top
C47,117.520589,-80.669411,225.0,top
C48,111.3,-76.030589,135.0,top
C49,112.049411,-69.310589,45.0,top
C5,109.54,-67.01,135.0,top
C50,117.54,-65.38,135.0,top
C51,119.68,-65.42,45.0,top
C52,126.2,-74.13,315.0,top
C53,127.37,-103.47,0.0,top
C56,126.47,-105.305,0.0,top
C57,118.43,-86.17,270.0,top
C58,119.43,-108.66,90.0,top
C59,125.57,-98.475,0.0,top
C6,114.64,-61.91,135.0,top
C60,117.56,-83.82,0.0,top
C61,128.38,-65.78,90.0,top
C62,127.24,-63.92,180.0,top
C63,128.885,-42.52,90.0,top
C64,102.43,-76.29,90.0,top
C65,109.1,-87.52,180.0,top
C66,112.67,-86.55,270.0,top
C67,135.506,-103.015,180.0,top
C68,118.91,-59.29,90.0,top
C7,116.0,-81.46,135.0,top
C8,127.665,-102.2,0.0,top
D1,116.42,-110.105,270.0,top
D2,123.41,-83.05,135.0,top
D3,124.450624,-82.010624,135.0,top
D4,125.96,-89.98,90.0,top
D5,132.8725,-98.53,0.0,top
D6,125.48,-80.978965,135.0,top
D7,120.09,-104.06,0.0,top
D8,130.1,-103.69,90.0,top
FLASH1,104.435,-51.67,90.0,top
H5,105.275,-116.595,0.0,top
H6,135.275,-116.595,0.0,top
H7,135.275,-42.13,0.0,top
H8,105.275,-42.13,0.0,top
J1,135.64,-81.92,90.0,top
J11,134.72,-60.3,90.0,top
J2,118.92,-116.685,0.0,top
J6,134.86,-70.91,0.0,top
J7,119.773,-96.7612,0.0,top
J9,108.76,-102.515,90.0,top
L1,133.383,-108.825,0.0,top
Q1,109.81,-95.1884,0.0,top
Q2,136.98,-99.37,270.0,top
Q5,109.24,-109.8684,0.0,top
R1,123.54,-66.89,135.0,top
R10,130.31,-101.69,180.0,top
R11,117.66,-105.665,90.0,top
R12,104.435,-55.92,180.0,top
R13,104.435,-47.37,180.0,top
R14,129.69,-83.17,0.0,top
R15,103.47125,-86.23,270.0,top
R16,108.71,-81.25,90.0,top
R17,129.37,-77.86,270.0,top
R19,125.09,-96.995,270.0,top
R2,121.31,-64.94,315.0,top
R20,125.09,-99.925,270.0,top
R21,103.42,-93.43,270.0,top
R22,116.623,-91.3812,0.0,top
R23,113.973,-91.3812,0.0,top
R24,103.48,-105.665,270.0,top
R25,102.81,-108.11,270.0,top
R26,103.48,-99.445,270.0,top
R3,119.4397,-106.2403,180.0,top
R30,103.48,-101.955,270.0,top
R4,107.86,-90.95,180.0,top
R5,121.73,-81.33,135.0,top
R6,134.35,-100.31,0.0,top
R7,122.76,-80.29,135.0,top
R8,123.78,-79.28,135.0,top
R9,122.21,-104.03,270.0,top
RESET2,104.435,-60.18,90.0,top
U1,126.511801,-65.797163,270.0,top
U14,124.295,-108.1903,180.0,top
U2,120.275,-48.96,0.0,top
U3,122.1949,-61.660049,180.0,top
U4,105.38,-80.3,270.0,top
U5,116.33,-86.14975,90.0,top
U6,118.59,-73.035,225.0,top
U9,110.08,-85.07,180.0,top
Y2,112.46,-64.77,45.0,top
